iter	Logloss
0	0.6283722889
1	0.5767113504
2	0.5306808756
3	0.4918941778
4	0.4587113618
5	0.4302613086
6	0.4055950574
7	0.3820673616
8	0.3803427192
9	0.3612025224
10	0.3453857981
11	0.3304618852
12	0.3161405737
13	0.304958311
14	0.2942864653
15	0.2846597547
16	0.2757760227
17	0.2694628055
18	0.2635226278
19	0.2568824176
20	0.2500597091
21	0.2451978974
22	0.2409610581
23	0.2366070927
24	0.2328468007
25	0.2295353108
26	0.2266486361
27	0.2239759127
28	0.2216940529
29	0.2187152026
0	0.6765800784
1	0.6570329523
2	0.6398026841
3	0.6222244256
4	0.6069564057
5	0.5928430279
6	0.5771798605
7	0.5622148728
8	0.5474157058
9	0.5353881021
10	0.5228131269
11	0.5106424281
12	0.4984889385
13	0.486886206
14	0.4763420793
15	0.465737304
16	0.4557277416
17	0.445887278
18	0.4359381138
19	0.426331354
20	0.4179690572
21	0.409352465
22	0.4016213771
23	0.3937359788
24	0.3860488456
25	0.3785589823
26	0.3716382297
27	0.36451409
28	0.3577071401
29	0.3509652233
